SARS2_A549	SARS2_A549_ACE2	SARS2_Calu3
GO:0120035		GO:0001819
GO:0007167		GO:0050673
GO:0032102		GO:0032147
GO:0046649		GO:0002708
GO:0034762		GO:0045862
GO:0010628		GO:0038127
GO:0002768		GO:1903312
GO:0002764		GO:0002698
GO:0032870		GO:0050870
GO:0045860		GO:0031347
GO:0033674		GO:0002706
GO:0019216		GO:0071902
GO:0002253		GO:1903039
GO:0031344		GO:1903320
GO:0007420		GO:0071214
GO:0045597		GO:0104004
GO:0032147		GO:0097193
GO:0071214		GO:0050729
GO:0104004		GO:0043405
GO:0042327		GO:0071345
GO:0000902		GO:0042129
GO:0036293		GO:0070374
GO:0003013		GO:0051341
GO:0033993		GO:0097190
GO:1901653		GO:0034097
GO:0001775		GO:2000573
GO:0030182		GO:0007569
GO:0009628		GO:0030522
GO:0022603		GO:0008585
GO:0040011		GO:0031396
GO:0010035		GO:2001235
GO:0001934		GO:0010951
GO:0001654		GO:0022409
GO:0150063		GO:0044819
GO:0051090		GO:0031571
GO:0048880		GO:0043410
GO:0031347		GO:0050778
GO:0034765		GO:0010466
GO:0051240		GO:0010508
GO:0040008		GO:0002703
GO:0060322		GO:0002699
GO:0035239		GO:0042542
GO:0050767		GO:0046822
GO:0010639		GO:0051251
GO:0071407		GO:0030098
GO:0043408		GO:0030162
GO:0010562		GO:0045860
GO:0045937		GO:1901214
GO:0002683		GO:0043069
GO:0044093		GO:0001817
GO:0071417		GO:1903037
GO:0051094		GO:0043066
GO:0061061		GO:0034614
GO:0043269		GO:1902533
GO:0051093		GO:0030168
GO:0006979		GO:0006915
GO:0071396		GO:0018105
GO:0051347		GO:0050863
GO:0045596		GO:0051147
GO:0050865		GO:0051249
GO:0034097		GO:1903131
GO:0043434		GO:0002822
GO:0001817		GO:0048511
GO:0006928		GO:0002697
GO:0060284		GO:2001236
GO:0072359		GO:0050867
GO:0009725		GO:0043523
GO:1901700		GO:0008593
GO:0051050		GO:0030330
GO:0051674		GO:0016241
GO:0048870		GO:1902105
GO:0002520		GO:0045785
GO:0048534		GO:0060548
GO:0051270		GO:0033674
GO:1901699		GO:0002684
GO:0001932		GO:0012501
GO:1901701		GO:0018209
GO:0048468		GO:2000278
GO:0002252		GO:0000302
GO:0009605		GO:0030278
GO:0032101		GO:0002521
GO:0044283		GO:0002819
GO:0007423		GO:0050776
GO:0045321		GO:0032101
GO:0120036		GO:0046649
GO:0071495		GO:0008219
GO:0016477		GO:1900180
GO:0048699		GO:0002696
GO:0042325		GO:0002573
GO:0030097		GO:0071496
GO:1903530		GO:0006954
GO:0030155		GO:1903706
GO:0022008		GO:0001934
GO:0045859		GO:0051347
GO:0051493		GO:0043065
